billboard_id,latitude,longitude,state_full,state_abbrev,campaign,url,message,street_view_date,mentions_bible_jesus_christians,mentions_n,mentions_y,image
1353,32.5227,-92.0817,Louisiana,LA,,"https://www.google.com/maps/@32.5223464,-92.0809096,3a,63.9y,303.68h,89.2t/data=!3m6!1e1!3m4!1s4Jc-hOW6N4baUR7iVSeZLQ!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,16-Jul,Y,,Y,https://s18.postimg.org/hds6xcnjt/1353.png
1354,32.5334,-93.6573,Louisiana,LA,,"https://www.google.com/maps/@32.5326484,-93.6577311,3a,29.6y,24.59h,89.05t/data=!3m6!1e1!3m4!1sSjCvfmRktkQ0MAjxLHZTEQ!2e0!7i13312!8i6656",Who is Jesus? Read Matthew's Gospel,16-Dec,Y,,Y,https://s18.postimg.org/nrha0m7vd/1354.png
1374,34.3341,-89.91554,Mississippi,MS,,"https://www.google.com/maps/@34.3343912,-89.9162606,3a,58.1y,121.21h,98.72t/data=!3m6!1e1!3m4!1s8rkzFD_KjcVR-tVXTkbYgQ!2e0!7i13312!8i6656",There is Evidence for GOD!,16-Nov,N,N,,https://s18.postimg.org/senc2csnd/1374.png
1385,34.926,-90.175,Mississippi,MS,,"https://www.google.com/maps/@34.9255409,-90.1754239,3a,25.3y,80.43h,95.2t/data=!3m6!1e1!3m4!1sBTHVOU-yDp8p9nUJp3W7mg!2e0!7i13312!8i6656",In the beginning GOD CREATED.,16-Oct,N,N,,https://s18.postimg.org/6s8bl9wmx/1385.png
1386,35.085,-106.2475,New Mexico,NM,,"https://www.google.com/maps/@35.0851574,-106.2469654,3a,75y,286.92h,96t/data=!3m6!1e1!3m4!1sPSWoGFpELOjmrmZSyX3QQA!2e0!7i13312!8i6656",Jesus your only way to God.,16-Jun,N,N,,https://s18.postimg.org/h3kodw6bt/1386.png
1387,35.1982,-114.8567,Nevada,NV,,"https://www.google.com/maps/@35.1986569,-114.8548367,3a,33.9y,236.27h,93.45t/data=!3m6!1e1!3m4!1sqFcINLWL_rwJjFKOWh3elg!2e0!7i13312!8i6656",In the beginning GOD CREATED.,16-Jun,N,N,,https://s18.postimg.org/wp1zy2v7d/1387.png
1391,35.8094,-84.3059,Tennessee,TN,,"https://www.google.com/maps/@35.8086189,-84.3058504,3a,25.6y,345.66h,92.48t/data=!3m6!1e1!3m4!1sbKs0JsfsaCvBnXXeaDCSoA!2e0!7i13312!8i6656","After you die, you will meet God.",17-Feb,N,N,,https://s18.postimg.org/63zh2kqa1/1391.png
1402,36.3108,-77.7072,North Carolina,NC,,"https://www.google.com/maps/@36.3112466,-77.7075212,3a,33.8y,134.7h,93.45t/data=!3m6!1e1!3m4!1s52Oi4BgJNa1xKiWyJRmJ_A!2e0!7i13312!8i6656","After you die, you will meet God.",16-Nov,N,N,,https://s18.postimg.org/xwfxq3qex/1402.png
1405,37.08276,-88.66583,Kentucky,KY,,"https://www.google.com/maps/@37.0832031,-88.6654635,3a,58.5y,180.89h,101.99t/data=!3m6!1e1!3m4!1sBmldP6bM3UbyduLk1c-IHA!2e0!7i13312!8i6656",Jesus your only way to God.,16-Jun,N,N,,https://s18.postimg.org/4ju5492h5/1405.png
1407,37.3024,-79.3831,Virginia,VA,,"https://www.google.com/maps/@37.3022475,-79.3833832,3a,75y,40.88h,90.58t/data=!3m6!1e1!3m4!1sUQpunn2jMCcqEkXNoAbwSg!2e0!7i13312!8i6656",Where are you going? Heaven or Hell,16-Jun,N,N,,https://s18.postimg.org/7qoonpmvd/1407.png
1424,39.8917,-83.8308,Ohio,OH,,"https://www.google.com/maps/@39.8939157,-83.8281268,3a,58.1y,197.15h,97.95t/data=!3m6!1e1!3m4!1sBBmD77qgYIdbgAVimBfp3w!2e0!7i13312!8i6656",Jesus your only way to God.,15-Oct,N,N,,https://s17.postimg.org/5iczt3rvz/1424.png
1433,41.5351,-83.6456,Ohio,OH,,"https://www.google.com/maps/@41.5327841,-83.6473079,3a,20y,27.68h,91t/data=!3m6!1e1!3m4!1s4kA4sS2SqcBolW3OG_EK7A!2e0!7i13312!8i6656",Read the Bible! Truth. Wisdom. Hope.,16-Nov,Y,,Y,https://s17.postimg.org/67vs5r2sv/1433.png
1435,41.5939,-83.5516,Ohio,OH,,"https://www.google.com/maps/@41.5927895,-83.5555196,3a,15y,75.9h,89.23t/data=!3m6!1e1!3m4!1sVAi8zRdCufzH3mNu5sbGSQ!2e0!7i13312!8i6656",In the beginning GOD CREATED.,16-Aug,N,N,,https://s17.postimg.org/fsfesnmzz/1435.png
1437,41.685,-92.0185,Iowa,IA,,"https://www.google.com/maps/@41.6870643,-92.0205263,3a,18.3y,147.96h,91.97t/data=!3m6!1e1!3m4!1sind6Jsot5PX9IKL62cByuA!2e0!7i13312!8i6656","After you die, you will meet God.",16-Oct,N,N,,https://s17.postimg.org/s726svbwf/1437.png
1438,42.0627,-83.2563,Michigan,MI,,"https://www.google.com/maps/@42.0645004,-83.2568503,3a,20.2y,154.43h,95.99t/data=!3m6!1e1!3m4!1sgRe-rQsW-ZN4v8IqJTAdVQ!2e0!7i13312!8i6656",Jesus your only way to God.,16-Jul,N,N,,https://s17.postimg.org/91yxj9a4v/1438.png
