markets,dma,name,bible_minded_ranking,top_bible_minded_y_n,cartodb_id,"marketpop,N,24,15",point_count,point_count_n,point_count_y
ROCHESTR-MASON CITY-AUSTIN,611,ROCHESTR-MASON CITY-AUSTIN,0,,93,366220,3,3,0
ODESSA-MIDLAND,633,ODESSA-MIDLAND,0,,110,413833,1,1,0
WICHITA FALLS & LAWTON,627,WICHITA FALLS & LAWTON,0,,105,414489,0,0,0
UTICA,526,UTICA,0,,27,258243,0,0,0
PARKERSBURG,597,PARKERSBURG,0,,83,156359,0,0,0
JOPLIN-PITTSBURG,603,JOPLIN-PITTSBURG,0,,87,404128,1,1,0
ROCKFORD,610,ROCKFORD,0,,92,486670,0,0,0
TOPEKA,605,TOPEKA,0,,89,463311,2,0,2
SHERMAN-ADA,657,SHERMAN-ADA,0,,129,331462,2,2,0
LAS VEGAS,839,LAS VEGAS,95,Y,201,2000560,4,3,1
GREEN BAY-APPLETON,658,GREEN BAY-APPLETON,59,Y,130,1117630,2,2,0
DENVER,751,DENVER,81,Y,166,4004989,4,3,1
COLORADO SPRINGS-PUEBLO,752,COLORADO SPRINGS-PUEBLO,56,Y,167,911893,3,3,0
SAN DIEGO,825,SAN DIEGO,70,Y,199,3095163,0,0,0
VICTORIA,626,VICTORIA,0,,104,86793,0,0,0
AMARILLO,634,AMARILLO,0,,111,543228,3,3,0
CHEYENNE-SCOTTSBLUFF,759,CHEYENNE-SCOTTSBLUFF,0,,174,141957,2,2,0
ST. JOSEPH,638,ST. JOSEPH,0,,115,157782,1,1,0
"JACKSON, TN",639,"JACKSON, TN",0,,116,180608,0,0,0
PANAMA CITY,656,PANAMA CITY,0,,128,368751,0,0,0
ABILENE-SWEETWATER,662,ABILENE-SWEETWATER,0,,133,307245,4,4,0
BEAUMONT-PORT ARTHUR,692,BEAUMONT-PORT ARTHUR,0,,146,460666,2,2,0
COLUMBUS-TUPELO-WEST POINT,673,COLUMBUS-TUPELO-WEST POINT,0,,137,493408,0,0,0
HATTIESBURG-LAUREL,710,HATTIESBURG-LAUREL,0,,152,295068,2,2,0
LINCOLN & HSTNGS-KRNY PLUS,722,LINCOLN & HSTNGS-KRNY PLUS,0,,157,704744,1,1,0
NEW ORLEANS,622,NEW ORLEANS,37,Y,100,1665997,6,4,2
MILWAUKEE,617,MILWAUKEE,64,Y,97,2307720,1,1,0
FARGO-VALLEY CITY,724,FARGO-VALLEY CITY,0,,158,607718,3,2,1
SIOUX FALLS(MITCHELL),725,SIOUX FALLS(MITCHELL),0,,159,663078,0,0,0
,734,JONESBORO,0,,160,0,0,0,0
LAREDO,749,LAREDO,0,,165,264322,0,0,0
YUMA-EL CENTRO,771,YUMA-EL CENTRO,0,,182,370279,4,4,0
